Cement,Sand,Biochar,W/B,Superplasticizer,Limestone,Accelerator,Age,Compressive Strength (MPa),Flexural Strength (MPa)
1500,1500,0,0.32,0.4,10,1.5,1,33.3,5.1
1500,1500,0,0.32,0.4,10,1.5,1,32.75,6.3
1500,1500,0,0.32,0.4,10,1.5,1,34.81,7.5
1485,1500,15,0.32,0.4,10,1.5,1,35.45,5.6
1485,1500,15,0.32,0.4,10,1.5,1,37.25,6.9
1485,1500,15,0.32,0.4,10,1.5,1,37.6,8.2
1470,1500,30,0.32,0.4,10,1.5,1,34.65,6
1470,1500,30,0.32,0.4,10,1.5,1,37.15,6.9
1470,1500,30,0.32,0.4,10,1.5,1,39.2,7.95
1455,1500,45,0.32,0.4,10,1.5,1,30.65,7.1
1455,1500,45,0.32,0.4,10,1.5,1,33,7.6
1455,1500,45,0.32,0.4,10,1.5,1,34.66,6.7
1440,1500,60,0.32,0.4,10,1.5,1,29.1,7.3
1440,1500,60,0.32,0.4,10,1.5,1,32.7,7.6
1440,1500,60,0.32,0.4,10,1.5,1,35.4,7.2
1425,1500,75,0.32,0.4,10,1.5,1,29.85,7.03
1425,1500,75,0.32,0.4,10,1.5,1,33.45,7.4
1425,1500,75,0.32,0.4,10,1.5,1,36,7.77
1500,1500,0,0.32,0.4,10,1.5,3,37.5,6.52
1500,1500,0,0.32,0.4,10,1.5,3,38.5,7.4
1500,1500,0,0.32,0.4,10,1.5,3,39.59,8.28
1485,1500,15,0.32,0.4,10,1.5,3,42,8.3
1485,1500,15,0.32,0.4,10,1.5,3,44.65,9.2
1485,1500,15,0.32,0.4,10,1.5,3,40.2,7.6
1470,1500,30,0.32,0.4,10,1.5,3,40.1,7.63
1470,1500,30,0.32,0.4,10,1.5,3,45.2,8.46
1470,1500,30,0.32,0.4,10,1.5,3,42.3,9.29
1455,1500,45,0.32,0.4,10,1.5,3,33.9,8.32
1455,1500,45,0.32,0.4,10,1.5,3,36.85,8.7
1455,1500,45,0.32,0.4,10,1.5,3,39.35,9.08
1440,1500,60,0.32,0.4,10,1.5,3,32,8.9
1440,1500,60,0.32,0.4,10,1.5,3,34.9,10.5
1440,1500,60,0.32,0.4,10,1.5,3,37.35,6.8
1425,1500,75,0.32,0.4,10,1.5,3,30.4,7.94
1425,1500,75,0.32,0.4,10,1.5,3,33.8,8.8
1425,1500,75,0.32,0.4,10,1.5,3,37.2,9.66
1500,1500,0,0.32,0.4,10,1.5,7,42.25,7.9
1500,1500,0,0.32,0.4,10,1.5,7,44.55,8.6
1500,1500,0,0.32,0.4,10,1.5,7,46.76,9.3
1485,1500,15,0.32,0.4,10,1.5,7,45.55,8.9
1485,1500,15,0.32,0.4,10,1.5,7,49,9.22
1485,1500,15,0.32,0.4,10,1.5,7,45.85,9.54
1470,1500,30,0.32,0.4,10,1.5,7,44.1,9.24
1470,1500,30,0.32,0.4,10,1.5,7,47.85,9.35
1470,1500,30,0.32,0.4,10,1.5,7,51.3,9.46
1455,1500,45,0.32,0.4,10,1.5,7,38.45,9.4
1455,1500,45,0.32,0.4,10,1.5,7,41.25,9.53
1455,1500,45,0.32,0.4,10,1.5,7,44.35,9.66
1440,1500,60,0.32,0.4,10,1.5,7,44.7,9.62
1440,1500,60,0.32,0.4,10,1.5,7,31.7,9.71
1440,1500,60,0.32,0.4,10,1.5,7,43.9,9.8
1425,1500,75,0.32,0.4,10,1.5,7,33.25,9.61
1425,1500,75,0.32,0.4,10,1.5,7,37.9,9.73
1425,1500,75,0.32,0.4,10,1.5,7,42.85,9.85
1500,1500,0,0.32,0.4,10,1.5,14,46.7,8
1500,1500,0,0.32,0.4,10,1.5,14,49.3,9.23
1500,1500,0,0.32,0.4,10,1.5,14,51.66,10.46
1485,1500,15,0.32,0.4,10,1.5,14,49.9,9.86
1485,1500,15,0.32,0.4,10,1.5,14,52.3,10
1485,1500,15,0.32,0.4,10,1.5,14,53.95,10.14
1470,1500,30,0.32,0.4,10,1.5,14,55.75,9.94
1470,1500,30,0.32,0.4,10,1.5,14,52.75,10.17
1470,1500,30,0.32,0.4,10,1.5,14,53.1,10.4
1455,1500,45,0.32,0.4,10,1.5,14,44.65,9.74
1455,1500,45,0.32,0.4,10,1.5,14,47.45,10.37
1455,1500,45,0.32,0.4,10,1.5,14,49.95,11
1440,1500,60,0.32,0.4,10,1.5,14,40.65,10.45
1440,1500,60,0.32,0.4,10,1.5,14,44.4,10.64
1440,1500,60,0.32,0.4,10,1.5,14,46.95,10.71
1425,1500,75,0.32,0.4,10,1.5,14,40.5,10.39
1425,1500,75,0.32,0.4,10,1.5,14,43.8,10.66
1425,1500,75,0.32,0.4,10,1.5,14,45.9,10.93
1500,1500,0,0.32,0.4,10,1.5,21,52,8.73
1500,1500,0,0.32,0.4,10,1.5,21,53.35,10.1
1500,1500,0,0.32,0.4,10,1.5,21,54.16,11.47
1485,1500,15,0.32,0.4,10,1.5,21,52.5,10.6
1485,1500,15,0.32,0.4,10,1.5,21,56.1,10.69
1485,1500,15,0.32,0.4,10,1.5,21,58.74,10.72
1470,1500,30,0.32,0.4,10,1.5,21,53.25,10.09
1470,1500,30,0.32,0.4,10,1.5,21,57,10.76
1470,1500,30,0.32,0.4,10,1.5,21,60.66,11.43
1455,1500,45,0.32,0.4,10,1.5,21,48.25,10.1
1455,1500,45,0.32,0.4,10,1.5,21,50.8,10.93
1455,1500,45,0.32,0.4,10,1.5,21,53.14,11.76
1440,1500,60,0.32,0.4,10,1.5,21,43.35,10.61
1440,1500,60,0.32,0.4,10,1.5,21,46.55,11.04
1440,1500,60,0.32,0.4,10,1.5,21,49.66,11.47
1425,1500,75,0.32,0.4,10,1.5,21,41.65,10.47
